时间_ms,条件,电极,第一问样条均值,实测ERP均值,模型拟合
0.0,左提示,F3,-1.8386063903105305,-2.1756493984984804,-1.02433423875064
0.0,左提示,Fz,0.778882208034935,0.08030937740234845,-0.8172918636861026
0.0,左提示,F4,-0.7479685000685823,-1.5409134313079886,-1.0644543470746444
0.0,右提示,F3,1.5402566098752488,1.7066275521347634,-1.0564410713425958
0.0,右提示,Fz,1.894923119652328,2.123629077882916,-0.8455293074708154
0.0,右提示,F4,2.4371346099380915,2.4204373009949944,-1.1073731453240483
7.8125,左提示,F3,-2.0960071715576913,-2.457830747517768,-1.2776454173519058
7.8125,左提示,Fz,0.7592493630239012,0.10090695949770812,-1.036057693092363
7.8125,左提示,F4,-0.8650628412344172,-1.528107107788001,-1.3703744327678182
7.8125,右提示,F3,1.4976450144257791,1.8811824255176153,-1.3037663113370572
7.8125,右提示,Fz,1.8805410281414523,2.2193642375145775,-1.0700049399113307
7.8125,右提示,F4,2.529623082979515,2.6400391851258544,-1.4395371508008201
15.625,左提示,F3,-2.3571394728556037,-2.65897800565669,-2.709867553977487
15.625,左提示,Fz,0.7409750112068981,0.3733629147843492,-2.5836513210636634
15.625,左提示,F4,-0.9755584599972924,-1.2282406756409747,-3.460971543047347
15.625,右提示,F3,1.4434278537519134,1.988093142103637,-2.7169436137831533
15.625,右提示,Fz,1.8491543291613524,2.3354097501529854,-2.6013476106695745
15.625,右提示,F4,2.602283965243066,2.9604381098568426,-3.516861382154558
23.4375,左提示,F3,-2.618923434019568,-2.851961320140098,-5.441243257768232
23.4375,左提示,Fz,0.7269572681297318,0.6734651784573141,-5.59446104265583
23.4375,左提示,F4,-1.0781335073224572,-0.9103759061968871,-7.536684043672641
23.4375,右提示,F3,1.3852296159380808,1.970287598511332,-5.439067188017603
23.4375,右提示,Fz,1.8067172811021524,2.4465235122493683,-5.5807082523429905
23.4375,右提示,F4,2.659147047290718,3.329736282646885,-7.521841432430903
31.25,左提示,F3,-2.8782791948648847,-3.066264819716343,-8.426818722331431
31.25,左提示,Fz,0.7200942493382085,0.8037837122290581,-8.786132004416517
31.25,左提示,F4,-1.17146613417516,-0.8225255269414261,-11.95714630504663
31.25,右提示,F3,1.3306747890687123,1.865056194936442,-8.471559889751376
31.25,右提示,Fz,1.7591841423539785,2.462839157478396,-8.779838785648627
31.25,右提示,F4,2.704242119684446,3.5828830577563684,-11.889326467829656
39.0625,左提示,F3,-3.132126895206856,-3.2872911241369156,-9.939715357878196
39.0625,左提示,Fz,0.7232840703781348,0.773895424538642,-9.996787629981661
39.0625,左提示,F4,-1.2542344915206498,-0.9481440836093513,-13.94605621895682
39.0625,右提示,F3,1.287387861228237,1.74016905533587,-10.119961291376598
39.0625,右提示,Fz,1.712509171306955,2.3274006598917816,-10.113440926620441
39.0625,右提示,F4,2.741598972986227,3.6014845325456664,-14.003166744571212
46.875,左提示,F3,-3.37738667486078,-3.524807832227874,-8.855001530141054
46.875,左提示,Fz,0.7394248467953166,0.7151446082957914,-7.799390085450287
46.875,左提示,F4,-1.3251167303241758,-1.1235271255750638,-11.649775728641979
46.875,右提示,F3,1.2629933205010848,1.5590553018200528,-9.224267954859869
46.875,右提示,Fz,1.6726466263512072,2.0195119563583486,-8.172348376894476
46.875,右提示,F4,2.775247397758031,3.3937565499009783,-12.115420581654295
54.6875,左提示,F3,-3.6109786736419585,-3.7446646803251715,-5.560702081112774
54.6875,左提示,Fz,0.7714146941355603,0.7679775980331761,-2.7350969349789667
54.6875,左提示,F4,-1.382791001550986,-1.2224825860539543,-5.685872048909684
54.6875,右提示,F3,1.2651156549716864,1.2517545916276414,-6.0560071008740985
54.6875,右提示,Fz,1.6455507658768607,1.6036483356128053,-3.3922716227081744
54.6875,右提示,F4,2.8092171845618363,3.085271916801709,-6.734632928891341
62.5,左提示,F3,-3.8298230313656942,-3.848543146791137,-1.6455687244231985
62.5,左提示,Fz,0.822151727944672,1.0025801275771653,3.0408171112067865
62.5,左提示,F4,-1.4259354561663313,-1.2096587560159693,1.2992080138451338
62.5,右提示,F3,1.30137935272447,0.8988726032732901,-2.067410736144222
62.5,右提示,Fz,1.6371758482740408,1.2342038004396068,2.2593152793695146
62.5,右提示,F4,2.8475381239596183,2.8128179014510275,-0.19582898764782058
70.3125,左提示,F3,-4.031472521293567,-3.763693664403624,1.253548603759968
70.3125,左提示,Fz,0.893950626512227,1.4032199641549508,7.309910160550037
70.3125,左提示,F4,-1.4536018455752635,-1.0716422304879805,6.548149393807187
70.3125,右提示,F3,1.378415919726984,0.7528949021635853,1.1753458835549506
70.3125,右提示,Fz,1.6528167154509992,1.0975136124094331,6.710856251751478
70.3125,右提示,F4,2.8938976892491715,2.663556443931032,5.052226324014815
78.125,左提示,F3,-4.219303376479726,-3.6294255583273527,2.3588785504463554
78.125,左提示,Fz,0.9837554646241624,1.7687023053880797,9.045994499256457
78.125,左提示,F4,-1.4682809539315098,-0.9001338264413414,8.75018699476172
78.125,右提示,F3,1.4937163533847597,0.9548154264623347,2.8622754503088426
78.125,右提示,Fz,1.6916982087630916,1.2286778268144212,8.950116599322927
78.125,右提示,F4,2.9488322860192975,2.615912705152028,7.802624589491118
85.9375,左提示,F3,-4.399830281252409,-3.703040706032178,1.830807757243403
85.9375,左提示,Fz,1.085615924727653,1.8569097518002025,8.532431998799684
85.9375,左提示,F4,-1.4743169716277347,-0.8810962156572576,8.202734430820728
85.9375,右提示,F3,1.639845534711313,1.3793592699406438,3.0543918017548064
85.9375,右提示,Fz,1.7497738494831763,1.4795964190864332,9.154613403055391
85.9375,右提示,F4,3.01118010731533,2.603127960294683,8.22614379497533
93.75,左提示,F3,-4.579598339579642,-4.111175326788711,0.2836152764269973
93.75,左提示,Fz,1.1935536351869271,1.6054211054602834,6.667609986087589
93.75,左提示,F4,-1.4760720533151692,-1.1572805333855727,5.976045352688699
93.75,右提示,F3,1.8093205980218245,1.7493421219681244,2.259782294275091
93.75,右提示,Fz,1.8229654514048912,1.6355868355793601,8.077271158988998
93.75,右提示,F4,3.0797628861488615,2.552414323810555,7.1589081107276105
101.5625,左提示,F3,-4.76515265542946,-4.675179550349244,-1.691856948470437
101.5625,左提示,Fz,1.3015902243662163,1.2409170033245727,4.286682452442823
101.5625,左提示,F4,-1.4779083536450417,-1.6404070838030966,3.0847290191033996
101.5625,右提示,F3,1.9946586776314774,1.942250183705624,0.997498799088262
101.5625,右提示,Fz,1.9071948283218751,1.6470693476049565,6.440521333373935
101.5625,右提示,F4,3.1534023555314867,2.483779478732435,5.4101178934950775
109.375,左提示,F3,-4.963038332769891,-5.200985339838731,-3.718701789183719
109.375,左提示,Fz,1.4037473206297493,0.9682746705549724,1.8898024598183756
109.375,左提示,F4,-1.4841880272685808,-2.133049258510305,0.14980079326981857
109.375,右提示,F3,2.188376907855453,2.039240300116047,-0.38995571844705795
109.375,右提示,Fz,1.9983837940277671,1.640248342200375,4.686204786204037
109.375,右提示,F4,3.2309202484747983,2.5007993366280274,3.481392125154192
117.1875,左提示,F3,-5.179800475568971,-5.656637190363488,-5.594117137825074
117.1875,左提示,Fz,1.494046552341757,0.8150235714429322,-0.2813100469935198
117.1875,左提示,F4,-1.4992732288370163,-2.4539478494836997,-2.5186161019992426
117.1875,右提示,F3,2.382992423008935,2.2012490967433096,-1.7094171715660307
117.1875,右提示,Fz,2.092454162316206,1.8009793682226833,3.0388953760609985
117.1875,右提示,F4,3.3111382979903925,2.7343717191478722,1.6363724104698787
125.0,左提示,F3,-5.421984187794724,-6.069773475484001,-7.204543585900504
125.0,左提示,Fz,1.566509547866469,0.7080662062294274,-2.1127263976914077
125.0,左提示,F4,-1.5275261130015778,-2.53216391747711,-4.766958639135747
125.0,右提示,F3,2.571022357407106,2.4594984995659175,-2.847751270331082
125.0,右提示,Fz,2.18532774698083,2.127435653679132,1.614213912733647
125.0,右提示,F4,3.392878237089862,3.133595628131942,0.019614452938470032
132.8125,左提示,F3,-5.6961345734151845,-6.342669142814408,-8.481135481558336
132.8125,左提示,Fz,1.6151579355681145,0.6987647420043321,-3.539004014557026
132.8125,左提示,F4,-1.5733088344134931,-2.3800171041478357,-6.505672346675185
132.8125,右提示,F3,2.7449838453651445,2.7281500207816856,-3.731332991675385
