Dataset,Condition,Channel,N_trials,TimeFromCue,ObservedERP,SplineFit,SplineFitValid
VisualCogA_Task-1,左条件,F3,29,-1.0,11.848996743741418,15.75575930718629,1
VisualCogA_Task-1,左条件,F3,29,-0.9921875,19.99628564370422,16.376656421166174,1
VisualCogA_Task-1,左条件,F3,29,-0.984375,18.347748533564047,16.817123862527797,1
VisualCogA_Task-1,左条件,F3,29,-0.9765625,18.789486989036543,17.105358018759716,1
VisualCogA_Task-1,左条件,F3,29,-0.96875,16.660192278080533,17.26955527735051,1
VisualCogA_Task-1,左条件,F3,29,-0.9609375,16.78317090118453,17.33791202578874,1
VisualCogA_Task-1,左条件,F3,29,-0.953125,16.362796147152654,17.338624651562988,1
VisualCogA_Task-1,左条件,F3,29,-0.9453125,17.16603612081281,17.299889542161807,1
VisualCogA_Task-1,左条件,F3,29,-0.9375,16.75465323560037,17.24990308507378,1
VisualCogA_Task-1,左条件,F3,29,-0.9296875,16.851217110563134,17.216861667787473,1
VisualCogA_Task-1,左条件,F3,29,-0.921875,16.349295459792078,17.228961677791446,1
VisualCogA_Task-1,左条件,F3,29,-0.9140625,16.877389786559586,17.31439950257429,1
VisualCogA_Task-1,左条件,F3,29,-0.90625,17.217853275130427,17.499279756883844,1
VisualCogA_Task-1,左条件,F3,29,-0.8984375,18.006278652658768,17.7833192767322,1
VisualCogA_Task-1,左条件,F3,29,-0.890625,17.866024215943842,18.14817261333604,1
VisualCogA_Task-1,左条件,F3,29,-0.8828125,17.97114961700623,18.575143016048706,1
VisualCogA_Task-1,左条件,F3,29,-0.875,18.347693700666973,19.045533734223508,1
VisualCogA_Task-1,左条件,F3,29,-0.8671875,20.159630172897547,19.54064801721377,1
VisualCogA_Task-1,左条件,F3,29,-0.859375,22.0183363660075,20.04178911437282,1
VisualCogA_Task-1,左条件,F3,29,-0.8515625,23.42734830772352,20.530260275053966,1
VisualCogA_Task-1,左条件,F3,29,-0.84375,23.08135316380436,20.987364748610545,1
VisualCogA_Task-1,左条件,F3,29,-0.8359375,21.9584215988641,21.394405784395882,1
VisualCogA_Task-1,左条件,F3,29,-0.828125,20.63933189062568,21.732686631763286,1
VisualCogA_Task-1,左条件,F3,29,-0.8203125,20.47102940284004,21.983644913798514,1
VisualCogA_Task-1,左条件,F3,29,-0.8125,20.680543942488605,22.14011427148432,1
VisualCogA_Task-1,左条件,F3,29,-0.8046875,20.99738816241069,22.21483431272553,1
VisualCogA_Task-1,左条件,F3,29,-0.796875,20.779067988711372,22.22254881404962,1
VisualCogA_Task-1,左条件,F3,29,-0.7890625,20.93318908393666,22.17800155198406,1
VisualCogA_Task-1,左条件,F3,29,-0.78125,21.475198229403908,22.09593630305634,1
VisualCogA_Task-1,左条件,F3,29,-0.7734375,22.631605054870903,21.991096843793944,1
VisualCogA_Task-1,左条件,F3,29,-0.765625,23.37278547457075,21.87822695072434,1
VisualCogA_Task-1,左条件,F3,29,-0.7578125,23.526459666903715,21.772070400375014,1
VisualCogA_Task-1,左条件,F3,29,-0.75,22.787498221588027,21.687370969273438,1
VisualCogA_Task-1,左条件,F3,29,-0.7421875,22.06595758704572,21.6388724339471,1
VisualCogA_Task-1,左条件,F3,29,-0.734375,21.636550197134248,21.641318570923467,1
VisualCogA_Task-1,左条件,F3,29,-0.7265625,21.83715171509932,21.705994230655893,1
VisualCogA_Task-1,左条件,F3,29,-0.71875,21.816963715350454,21.82727661948963,1
VisualCogA_Task-1,左条件,F3,29,-0.7109375,21.49386560992483,21.994384807656452,1
VisualCogA_Task-1,左条件,F3,29,-0.703125,20.904922396049805,22.196536604846578,1
VisualCogA_Task-1,左条件,F3,29,-0.6953125,20.896202368643397,22.42294982075021,1
VisualCogA_Task-1,左条件,F3,29,-0.6875,21.450969915595714,22.662842265057556,1
VisualCogA_Task-1,左条件,F3,29,-0.6796875,22.62766855540691,22.905431747458827,1
VisualCogA_Task-1,左条件,F3,29,-0.671875,23.82064096174574,23.13993607764423,1
VisualCogA_Task-1,左条件,F3,29,-0.6640625,24.865960467017445,23.35557306530397,1
VisualCogA_Task-1,左条件,F3,29,-0.65625,25.16286065132276,23.541560520128257,1
VisualCogA_Task-1,左条件,F3,29,-0.6484375,24.750047368469037,23.68711625180729,1
VisualCogA_Task-1,左条件,F3,29,-0.640625,23.745912780434928,23.781989280168013,1
VisualCogA_Task-1,左条件,F3,29,-0.6328125,23.064344172765058,23.824621146304565,1
VisualCogA_Task-1,左条件,F3,29,-0.625,22.81914678792536,23.820547113931134,1
VisualCogA_Task-1,左条件,F3,29,-0.6171875,22.909974120880428,23.775509750490166,1
VisualCogA_Task-1,左条件,F3,29,-0.609375,22.907463052386074,23.695251623424106,1
VisualCogA_Task-1,左条件,F3,29,-0.6015625,23.13492647970079,23.58551530017541,1
VisualCogA_Task-1,左条件,F3,29,-0.59375,23.59511633073868,23.45204334818651,1
VisualCogA_Task-1,左条件,F3,29,-0.5859375,24.24995453151282,23.30057833489986,1
VisualCogA_Task-1,左条件,F3,29,-0.578125,24.478955714549794,23.136862827757916,1
VisualCogA_Task-1,左条件,F3,29,-0.5703125,24.166827956913608,22.966639394203106,1
VisualCogA_Task-1,左条件,F3,29,-0.5625,23.243143585891545,22.795650601677888,1
