heldout_record,condition,trial_index,true_label,score_right_minus_left,predicted_label,correct,feature_count,feature_windows_ms,training_records
VisualCogA_Task-1,left,0,left,-0.15764875454957009,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,1,left,0.049764586431604106,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,2,left,0.11383661952756287,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,3,left,-0.02279113881837007,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,4,left,0.0011254407379955949,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,5,left,0.11197124520233992,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,6,left,0.058073516256868345,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,7,left,-0.022854311398762102,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,8,left,0.09760197133418028,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,9,left,0.22847310486726333,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,10,left,0.019484424885164695,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,11,left,-0.07712564349984345,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,12,left,0.10727287089184688,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,13,left,-0.023948970909280713,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,14,left,-0.08233760436031624,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,15,left,-0.21259105728929556,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,16,left,-0.021489172134684202,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,17,left,0.02159725265621901,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,18,left,0.33644147844224215,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,19,left,0.23559479446587003,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,20,left,0.018846693658357224,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,21,left,0.011842140142654235,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,22,left,0.0551771965033525,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,23,left,0.06519567182641309,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,24,left,0.0027201958074649936,right,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,25,left,-0.06280894786753073,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,26,left,-0.2769116193702918,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,27,left,-0.15128631547902696,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,left,28,left,-0.06038118270830234,left,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,0,right,0.3376263190817593,right,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,1,right,-0.14194798653450133,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,2,right,-0.07726975917232914,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,3,right,-0.09418433465800545,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,4,right,-0.16293887595069148,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,5,right,0.020621286732900507,right,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,6,right,-0.02256996656351078,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,7,right,-0.15995214946997496,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,8,right,-0.04836383827913451,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,9,right,0.010739418032544988,right,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,10,right,-0.26512920242494925,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,11,right,-0.2241708079791693,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,12,right,-0.11118720510488467,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,13,right,-0.04815412824007064,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,14,right,-0.22679420450189247,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,15,right,-0.1888220957777332,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,16,right,-0.027097867662893044,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,17,right,0.02879633774201721,right,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,18,right,0.007185156686885862,right,True,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,19,right,-0.00888436113424231,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
VisualCogA_Task-1,right,20,right,-0.009292795844297543,left,False,9,"[100,250);[250,500);[500,800)",VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2
