heldout_record,train_records,sensor,source,time_ms,right_minus_left
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,0.0,0.003372796026997582
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,7.8125,0.026612515543406712
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,15.625,0.03931456420017598
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,23.4375,0.01059318652720398
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,31.25,-0.06731391710530277
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,39.0625,-0.16625993720153875
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,46.875,-0.24543087616010695
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,54.6875,-0.28338266020187497
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,62.5,-0.28736087115609976
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,70.3125,-0.2798333646824598
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,78.125,-0.28085840296432707
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,85.9375,-0.3005500739174032
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,93.75,-0.3407978784335439
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,101.5625,-0.4001438605254972
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,109.375,-0.47635306814390055
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,117.1875,-0.5671661602338842
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,125.0,-0.66988659488852
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,132.8125,-0.7817915898602187
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,140.625,-0.9002299454101736
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,148.4375,-1.0230552066020238
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,156.25,-1.1481012520398322
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,164.0625,-1.2733415045803307
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,171.875,-1.3968891191917059
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,179.6875,-1.518038768709605
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,187.5,-1.6368134639110266
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,195.3125,-1.7524227030145765
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,203.125,-1.8597907626096284
VisualCogA_Task-1,VisualCogA_Task-2;VisualCogB_Task-1;VisualCogB_Task-2,F3,early_left_hemisphere_from_right_visual_field,210.9375,-1.9486132059496573
