heldout_record,mode_count,condition,trial_index,true_label,score_right_minus_left,predicted_label,correct
VisualCogA_Task-1,2,left,0,left,-0.11816333661124698,left,True
VisualCogA_Task-1,2,left,1,left,0.18270439551663614,right,False
VisualCogA_Task-1,2,left,2,left,0.23943914634118854,right,False
VisualCogA_Task-1,2,left,3,left,0.07508137023941594,right,False
VisualCogA_Task-1,2,left,4,left,0.07050917382478324,right,False
VisualCogA_Task-1,2,left,5,left,0.201057196647604,right,False
VisualCogA_Task-1,2,left,6,left,0.13634339988386412,right,False
VisualCogA_Task-1,2,left,7,left,-0.048145431579755225,left,True
VisualCogA_Task-1,2,left,8,left,0.16448531785325432,right,False
VisualCogA_Task-1,2,left,9,left,0.3260025655210658,right,False
VisualCogA_Task-1,2,left,10,left,0.07355603802408481,right,False
VisualCogA_Task-1,2,left,11,left,-0.1287759559439965,left,True
VisualCogA_Task-1,2,left,12,left,0.15668816202339858,right,False
VisualCogA_Task-1,2,left,13,left,0.08975174094592826,right,False
VisualCogA_Task-1,2,left,14,left,-0.06592409499938182,left,True
VisualCogA_Task-1,2,left,15,left,-0.2989426495376593,left,True
VisualCogA_Task-1,2,left,16,left,-0.04558581098747608,left,True
VisualCogA_Task-1,2,left,17,left,0.09247041391726311,right,False
VisualCogA_Task-1,2,left,18,left,0.5697934597460763,right,False
VisualCogA_Task-1,2,left,19,left,0.13102975732089006,right,False
VisualCogA_Task-1,2,left,20,left,0.03164733246784238,right,False
VisualCogA_Task-1,2,left,21,left,0.019190945697141682,right,False
VisualCogA_Task-1,2,left,22,left,0.1265882548138575,right,False
VisualCogA_Task-1,2,left,23,left,0.16173061119563792,right,False
VisualCogA_Task-1,2,left,24,left,0.04471599591889195,right,False
VisualCogA_Task-1,2,left,25,left,-0.05404364325713602,left,True
VisualCogA_Task-1,2,left,26,left,-0.1877446520217861,left,True
VisualCogA_Task-1,2,left,27,left,-0.065038333446885,left,True
VisualCogA_Task-1,2,left,28,left,0.06343461585308102,right,False
VisualCogA_Task-1,2,right,0,right,0.36323008426614195,right,True
VisualCogA_Task-1,2,right,1,right,-0.08838429805419828,left,False
VisualCogA_Task-1,2,right,2,right,-0.05017188756473351,left,False
VisualCogA_Task-1,2,right,3,right,-0.09575107323656278,left,False
VisualCogA_Task-1,2,right,4,right,-0.10799186820664809,left,False
VisualCogA_Task-1,2,right,5,right,0.09806100322686032,right,True
VisualCogA_Task-1,2,right,6,right,0.03049033100790861,right,True
VisualCogA_Task-1,2,right,7,right,-0.2864968037681754,left,False
VisualCogA_Task-1,2,right,8,right,-0.07383624063158205,left,False
VisualCogA_Task-1,2,right,9,right,0.08300623546232434,right,True
VisualCogA_Task-1,2,right,10,right,-0.3218233731979747,left,False
VisualCogA_Task-1,2,right,11,right,-0.30165999297570706,left,False
VisualCogA_Task-1,2,right,12,right,-0.26852243034003836,left,False
VisualCogA_Task-1,2,right,13,right,-0.05780334651589156,left,False
VisualCogA_Task-1,2,right,14,right,-0.2203703897352218,left,False
VisualCogA_Task-1,2,right,15,right,-0.4534612722548345,left,False
VisualCogA_Task-1,2,right,16,right,-0.004950005818432947,left,False
VisualCogA_Task-1,2,right,17,right,0.08987511973092431,right,True
