,A,B,C,D
2023-06-01,1.0872746065044887,1.251763216852534,-1.6067676545824274,0.7258586382950707
2023-06-02,-0.38988158795755373,-0.3562793325197855,0.7632510470755944,-0.42537540982340716
2023-06-03,2.25549606334707,0.2825466473337435,-0.9057716444783442,0.4723071535678092
2023-06-04,-0.9417740741533142,0.17453880916134204,-0.31128144074540914,-0.8405752308725571
2023-06-05,0.5804182201347238,-0.0717338715142428,0.9504375800056208,-0.43951863129311824
2023-06-06,1.6393557498234494,1.2534260306005438,-0.1870604278689442,2.104719659675422
2023-06-07,-0.8201959507265745,-0.10008589985181007,0.45199716950514923,1.9627242586345095
2023-06-08,0.20316185352390806,-1.8912154980695397,0.5166307676124574,-1.1431318805747548
2023-06-09,-2.160699533435011,-0.43669473039324297,-0.6104128791650328,-0.7382789564542023
2023-06-10,0.3476443949144658,0.9981324871785247,-0.6957313203008746,1.6029045756551066
2023-06-11,0.2403637129378148,1.2558298626643418,1.8171254738324014,-1.0093328614957766
2023-06-12,-0.1009869466658258,-0.13203507203996703,1.3455009889158287,-0.8455831895134646
2023-06-13,-0.5318580531378367,-1.8781710300854073,1.0701061049391036,1.2402796211033413
2023-06-14,0.7203891537181618,1.347770776354569,-1.454474170974059,0.5120701361505312
2023-06-15,0.25471282607911094,0.9963523498136015,1.1996289670126508,-1.261259506158817
2023-06-16,-0.9897987273593637,-0.8396595765061283,0.1973844346422106,1.3603429907195008
2023-06-17,0.6250432928709541,-0.07457960326416793,-0.3757726533232996,-0.1932859907860603
2023-06-18,-0.8369893395958042,0.7853002415240777,0.18357827486135572,0.06888424285506578
2023-06-19,0.5251099698293558,0.7471210383447853,0.06311652913387299,-0.5415365642202061
2023-06-20,-0.05035137774168762,-0.5143472079044175,-1.1228401823828584,-0.8447412493122484
2023-06-21,-1.2703170515261493,-1.5478905849468687,-0.934624885782086,-1.047427648890295
2023-06-22,-0.729513495592955,0.7920787230148876,0.4380232484079329,2.0233601565935704
2023-06-23,1.2628214470740575,0.5756282479023657,-1.8797212449254044,1.3111533801612094
