stage,equation,parameter,estimate,n_trials,design_rank,rmse_in_sample,inference
cue_locked,V_visual_forward_proxy,intercept,-3.7178568592733114,387,2,55.46067408180894,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,V_visual_forward_proxy,cue_side,0.851302021011502,387,2,55.46067408180894,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,H_memory_proxy,intercept,2.755172080988395,387,3,0.846537857968513,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,H_memory_proxy,V_visual_like_raw,0.002345078177654353,387,3,0.846537857968513,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,H_memory_proxy,task_filename_code_centered,0.13413697343240436,387,3,0.846537857968513,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,P_control_proxy,intercept,2.2161819317334666,387,4,0.6895482847852106,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,P_control_proxy,H_memory_like_raw,0.10292496438223331,387,4,0.6895482847852106,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,P_control_proxy,V_visual_like_raw,0.0005482466928327101,387,4,0.6895482847852106,"descriptive OLS; four recording files, participant/task mapping not verified"
cue_locked,P_control_proxy,task_filename_code_centered,-0.21011534143096705,387,4,0.6895482847852106,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,V_visual_forward_proxy,intercept,0.5528704399871345,396,2,31.439755885678316,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,V_visual_forward_proxy,cue_side,-0.1905444409389864,396,2,31.439755885678316,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,H_memory_proxy,intercept,1.8459023214548953,396,3,0.7353690332040125,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,H_memory_proxy,V_visual_like_raw,0.00013029379109272434,396,3,0.7353690332040125,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,H_memory_proxy,task_filename_code_centered,-0.06869200687534148,396,3,0.7353690332040125,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,P_control_proxy,intercept,2.30376563527447,396,4,0.4507402818044707,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,P_control_proxy,H_memory_like_raw,0.12971586030697416,396,4,0.4507402818044707,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,P_control_proxy,V_visual_like_raw,0.0012392711336624285,396,4,0.4507402818044707,"descriptive OLS; four recording files, participant/task mapping not verified"
target_locked,P_control_proxy,task_filename_code_centered,-0.23674560128858424,396,4,0.4507402818044707,"descriptive OLS; four recording files, participant/task mapping not verified"
