record,original_trial_index,q1_trial_index,q1_trial_key,cue_time_s,cue_side,cue_side_text,task_type,stage,event_offset_from_cue_s,event_time_s,erp_baseline_samples,erp_candidate_samples,erp_peak_samples,power_samples,q1_sample_rate_hz,erp_mean_F3,erp_area_F3,erp_peak_F3,erp_peak_latency_s_F3,log_theta_power_F3,log_alpha_power_F3,log_beta_power_F3,erp_mean_Fz,erp_area_Fz,erp_peak_Fz,erp_peak_latency_s_Fz,log_theta_power_Fz,log_alpha_power_Fz,log_beta_power_Fz,erp_mean_F4,erp_area_F4,erp_peak_F4,erp_peak_latency_s_F4,log_theta_power_F4,log_alpha_power_F4,log_beta_power_F4,AI_alpha,response_time_s,response_code,response_side,choice_side,reaction_time_s,rt_status,is_omission,correct,power_window_start_relative_response_s,power_window_end_relative_response_s,pre_response_mean_F3,pre_response_sd_F3,pre_response_mean_Fz,pre_response_sd_Fz,pre_response_mean_F4,pre_response_sd_F4
VisualCogA_Task-1,0,0.0,VisualCogA_Task-1:q1_000,20.1640625,-1,left,unresolved_from_allowed_channels,cue_locked,0.0,20.1640625,25,32,45,83,128.0,-59.71818542480469,-14.516181945800781,14.721733093261719,0.59375,3.105141418293667,2.9560278217375004,2.5205567883304862,-4.3171706199646,-1.0868092775344849,86.04098510742188,0.59375,2.9838659154370597,3.2390851568410404,3.0456563458372288,-14.282989501953125,-3.500528335571289,69.5887680053711,0.59375,3.0117059776544117,3.4361868180258672,3.1042590464927775,0.4801589962883668,,,,,,,,,,,,,,,,
VisualCogA_Task-1,0,0.0,VisualCogA_Task-1:q1_000,20.1640625,-1,left,unresolved_from_allowed_channels,target_locked,2.2,22.3640625,26,32,45,83,128.0,13.87116813659668,3.434465169906616,29.022836685180664,0.2999999523162842,3.0181439183422647,1.5212889285266262,1.8874046694723638,-0.9856544137001038,-0.1944846212863922,8.318782806396484,0.4171874523162842,1.4408590336258555,2.044920657331535,1.4170646759604113,44.20321273803711,10.760533332824707,58.01649475097656,0.3312499523162842,0.5979900421286889,2.449627752573994,1.6568509953259427,0.9283388240473676,,,,,,,,,,,,,,,,
VisualCogA_Task-1,1,1.0,VisualCogA_Task-1:q1_001,29.4453125,1,right,unresolved_from_allowed_channels,cue_locked,0.0,29.4453125,25,32,45,83,128.0,88.93883514404297,21.535940170288086,154.73587036132812,0.59375,2.270899131889487,-1.1838765236489117,2.218429332706118,4.759602069854736,1.1366230249404907,17.387441635131836,0.2890625,2.1144256767418943,-1.1328078647641318,2.0408583093415733,18.98818588256836,4.567643642425537,53.437889099121094,0.5546875,1.2527385691519939,-0.2099213973618287,2.3082628595070576,0.973955126287083,,,,,,,,,,,,,,,,
VisualCogA_Task-1,1,1.0,VisualCogA_Task-1:q1_001,29.4453125,1,right,unresolved_from_allowed_channels,target_locked,2.2,31.6453125,26,32,45,83,128.0,-16.25030517578125,-3.8765439987182617,-7.9200849533081055,0.3546874523162842,1.6528526766725606,-0.1319430919219455,1.017700726376279,-3.9972753524780273,-0.9150012731552124,8.147857666015625,0.3937499523162842,2.4540520818090323,0.08698638675074973,1.2619607144951115,-20.13367462158203,-4.828203201293945,-3.9969310760498047,0.3937499523162842,2.6950062168079056,1.5014554603354728,1.316256331854976,1.6333985522574184,,,,,,,,,,,,,,,,
VisualCogA_Task-1,4,2.0,VisualCogA_Task-1:q1_002,54.90234375,1,right,unresolved_from_allowed_channels,cue_locked,0.0,54.90234375,25,32,45,83,128.0,-78.99586486816406,-19.12643051147461,-59.63832092285156,0.28125,2.0871467764354614,2.0105264313324565,1.8657241902614636,-8.410472869873047,-1.9832570552825928,5.907009124755859,0.28125,2.493104918878649,1.5620385990070387,1.8548670324360073,-45.80961227416992,-11.056499481201172,-22.70277976989746,0.28125,2.171792690379875,1.3775251464942644,1.636115913920133,-0.6330012848381921,,,,,,,,,,,,,,,,
VisualCogA_Task-1,4,2.0,VisualCogA_Task-1:q1_002,54.90234375,1,right,unresolved_from_allowed_channels,target_locked,2.2,57.10234375,26,32,45,83,128.0,4.524240970611572,1.1261940002441406,14.57933521270752,0.2921874523162842,0.8774695373444455,0.04276450691228391,2.922845965719996,8.965530395507812,2.2373204231262207,20.605552673339844,0.3624999523162842,-0.12870050693724522,0.6482408332169686,2.862477222317253,-20.459735870361328,-4.906627655029297,-8.167106628417969,0.2531249523162842,0.20427926667897542,1.069980328675284,3.1341818182176255,1.027215821763,,,,,,,,,,,,,,,,
VisualCogA_Task-1,5,3.0,VisualCogA_Task-1:q1_003,63.34375,-1,left,unresolved_from_allowed_channels,cue_locked,0.0,63.34375,25,32,45,83,128.0,-144.26040649414062,-34.94569396972656,-109.66421508789062,0.25,1.6545573990838,0.6064067255959236,1.9949886003591868,6.199753761291504,1.5149974822998047,18.842899322509766,0.34375,2.1183744033656944,0.6745118553070476,2.42377007025269,-195.31224060058594,-47.30862045288086,-154.56283569335938,0.25,2.757864994215719,0.26348150729469727,1.8566995278269047,-0.3429252183012263,,,,,,,,,,,,,,,,
VisualCogA_Task-1,5,3.0,VisualCogA_Task-1:q1_003,63.34375,-1,left,unresolved_from_allowed_channels,target_locked,2.2,65.54375,26,32,45,83,128.0,26.693960189819336,6.488084316253662,34.51628112792969,0.2843749523162842,2.1606147851197623,-0.6440994950529035,1.5062788818385389,9.593477249145508,2.318568468093872,24.367738723754883,0.4328124523162842,2.2484606908003557,1.131021654516265,2.534792678411111,18.11743927001953,4.402875900268555,32.39352798461914,0.4328124523162842,1.1698740788104045,1.9161421959914644,2.3931278043047377,2.560241691044368,,,,,,,,,,,,,,,,
VisualCogA_Task-1,6,4.0,VisualCogA_Task-1:q1_004,71.75,-1,left,unresolved_from_allowed_channels,cue_locked,0.0,71.75,25,32,45,83,128.0,-4.424396514892578,-1.0866105556488037,25.238388061523438,0.515625,2.6658504735904502,2.1288443832762205,0.21992120374095142,2.4092540740966797,0.60646653175354,21.953977584838867,0.515625,2.2538671160778745,1.6977713128117775,1.1332228877589428,-33.53602600097656,-8.121880531311035,-18.157316207885742,0.5078125,2.7585879083308313,1.1538353303565791,1.5852429721543504,-0.9750090529196414,,,,,,,,,,,,,,,,
VisualCogA_Task-1,6,4.0,VisualCogA_Task-1:q1_004,71.75,-1,left,unresolved_from_allowed_channels,target_locked,2.2,73.95,26,32,45,83,128.0,2.538181781768799,0.5718614459037781,15.06342887878418,0.5031249523162842,2.4860504131256795,2.6260915975609396,1.0956960863910072,-1.3783873319625854,-0.38243311643600464,9.554645538330078,0.2531249523162842,2.1897960286002562,3.281007082147227,1.7786284954324274,-55.520015716552734,-13.502533912658691,-29.97347640991211,0.2531249523162842,2.3127322340833945,2.879914337178716,1.8277685513061173,0.25382273961777635,,,,,,,,,,,,,,,,
