Trial,CueType,ClippedDrop,SQI,RiemannDrop,FinalDrop,RP1_F3F4_1_7_Frobenius,RP2_Fz_1_7_Variance,RP3_All_16_24_Trace,RP4_All_1_24_Riemann
0,1.0,0,1.0,0,0,641.7397993037935,267.9472805615416,5.974359841159222,2.7631029046953692
1,-1.0,0,1.0,0,0,544.260966537726,246.5982588934884,13.723857594014305,2.23184547224907
2,-1.0,0,1.0,0,0,1007.0981932500151,380.79343231358354,15.738529215310342,2.646400888474458
3,-1.0,0,1.0,0,0,635.5037196016008,282.89691967919174,12.041629972370828,2.809064305634256
4,1.0,0,0.8553677310018762,0,0,861.1362213978772,366.75199602002084,12.244945853867717,3.3537368353210746
5,-1.0,0,0.3439955007045155,0,0,3096.872389593958,1599.9570907365596,15.718403696720674,3.076739075306763
6,1.0,0,0.8160423215251972,0,0,828.8303970749711,360.6772656725035,20.766010749512272,2.6118310419907487
7,1.0,0,0.6590874272884293,0,0,1240.4763826154494,529.4190367653446,22.411189448490557,3.322155711905312
8,-1.0,0,0.7009129248246465,0,0,858.6193816902252,364.065548044006,21.260790042049663,3.2750207201353088
9,-1.0,0,1.0,0,0,830.0706173247862,358.759108622613,5.808981057924413,2.8365692911049267
10,1.0,0,0.30978517572044645,0,0,3096.956682641802,1191.9471113264608,26.18089429766005,1.3321835742755752
11,1.0,0,0.7502822254727443,0,0,740.4872786616978,338.0844045286461,18.170675199889548,3.4628202788320483
12,1.0,0,0.5844530464955537,0,0,2301.6259854461264,1144.0754492847575,16.167758119178036,2.331069662952473
13,-1.0,0,0.4385737467879899,0,0,2698.195977213843,1160.468664744937,20.552609251546002,2.8366940286982008
14,-1.0,0,0.5425729419854259,0,0,2466.7483945462477,970.4508818219731,19.58386994086346,1.8763093795427261
15,-1.0,0,0.6578691048324443,0,0,893.810433130084,451.79719278536646,26.044798256146915,1.7976505049949238
16,1.0,0,0.7748527545514704,0,0,905.5306235623033,395.35199832591644,15.421781080086369,3.6734961817228418
17,1.0,0,0.7816077158749989,0,0,493.46030456947386,219.96109796933635,17.015931708953524,3.482967264700602
18,-1.0,0,0.8689620991591638,0,0,796.9256911672062,351.59105184414466,17.52623477491411,3.0729107698029887
19,-1.0,0,0.47689454325397773,0,0,2408.397972787425,1069.2246098091096,13.524036719770153,3.618997891319044
20,1.0,0,0.6627132753503066,0,0,2164.015956261105,808.176912570973,18.945648980459183,1.660072586797066
21,-1.0,0,0.7316359628502762,0,0,1499.5391235484715,709.4967039960422,11.798608420629169,3.6724540456196597
22,1.0,1,,0,1,,,,
23,1.0,0,0.6991471701759093,0,0,631.5909572178297,319.0035890288588,6.864033703665138,4.006042541379264
24,-1.0,0,0.826751121693542,0,0,1821.6866591811226,796.0040332293481,9.534523470699673,2.7438948519379682
25,-1.0,0,0.7349330126367437,0,0,2062.467283909191,874.2157643781404,16.039968583805337,2.343780929385755
26,1.0,0,0.6517872860452056,0,0,2306.5314073139434,988.9754200388123,12.387200146297639,2.317711013207801
27,1.0,0,0.438317959105634,0,0,3034.1186525550333,1344.0055906466646,9.410217092533701,2.8070198531956287
28,1.0,0,0.5001745594439494,0,0,1898.7675787791893,779.2938222922812,27.880177467824804,2.726012578844777
29,-1.0,1,,0,1,,,,
30,-1.0,1,,0,1,,,,
31,-1.0,0,1.0,0,0,1061.5262347714759,413.18322589537274,9.675129723103868,2.2236768752878056
32,1.0,1,,0,1,,,,
33,-1.0,1,,0,1,,,,
34,-1.0,1,,0,1,,,,
35,1.0,0,0.7468712477554387,0,0,511.8207040936431,237.28338100606143,14.995159257534652,3.792462381868733
36,1.0,0,0.7776226935737264,0,0,1432.9585980103152,600.4354686736781,21.15335253143442,2.9532749780140275
37,-1.0,0,0.7303618342599516,0,0,1697.058552504606,796.1561653097691,19.576130169518393,1.7300072824925026
38,1.0,1,,0,1,,,,
39,-1.0,0,0.9375713613244742,0,0,490.6514507006868,188.11899283706182,8.204044760769637,3.056933022550708
40,-1.0,1,,0,1,,,,
41,-1.0,0,0.9383139018477635,0,0,1008.2199144306834,426.8324465789327,17.34535418315962,1.9197523199151483
42,-1.0,1,,0,1,,,,
43,-1.0,0,0.7122792592617202,0,0,1662.1150292909097,653.4931140950425,22.535272912601158,2.0532663386256815
44,-1.0,1,,0,1,,,,
45,-1.0,0,0.7465813311911856,0,0,732.9167856631603,309.8477251104498,17.44455683124299,3.5746772948775254
46,-1.0,0,1.0,0,0,174.2651885408607,80.45612451143772,15.785417687824966,2.2210286841327735
47,-1.0,0,0.7959630135885989,0,0,710.7484193496807,331.6629861121539,21.376392827406768,2.1202907467009697
48,1.0,0,0.5778209840136672,0,0,831.6843464839291,251.83815948055374,21.397881729906114,3.881570254775641
49,1.0,0,0.5962463348212269,0,0,825.7189365691842,268.9356348611127,8.719599573328328,4.521001476291539
50,-1.0,0,0.10584935953653322,1,1,3470.2505312206945,1513.2348104162877,36.807095686212975,3.985891781711722
51,1.0,0,0.6298990315009569,0,0,2090.19008554818,1013.2544895569889,10.740629362283649,3.0842175730906733
52,1.0,0,0.7204399679128527,0,0,1466.7809197868864,707.097653594718,22.639415929086503,1.149206717790075
53,-1.0,0,0.6534136874042127,0,0,2307.6511559675823,937.0633287831827,15.23597467182997,2.9419387954004796
54,-1.0,0,0.40285375250995736,0,0,2869.6215984873033,358.62499143258924,11.101313962839452,4.652385047079575
55,1.0,0,0.8767141418320558,0,0,1028.4819370012365,447.0227987299664,17.393938101505714,3.0616493881997875
56,1.0,0,0.6150581406215397,0,0,1633.8221145479226,698.7002706220694,21.503798771659348,3.392701169716055
57,1.0,0,0.5670894693297114,0,0,2604.1252301457503,1096.3593572149314,11.989535338581188,2.685830111599209
58,1.0,0,0.915542789528972,0,0,1806.314111517856,635.074558608411,10.134358885144767,2.397693011472533
59,1.0,0,0.21607529381685414,1,1,4345.33225648329,1888.0749266044527,13.185031146107194,3.01243344865243
60,-1.0,0,0.9615403933650841,0,0,1025.5018287507914,408.6746795468794,16.746278073466545,2.126495873048182
61,1.0,1,,0,1,,,,
62,-1.0,1,,0,1,,,,
63,-1.0,0,0.5761387441651489,0,0,1582.2353743511194,696.4620251048093,11.654152600997612,4.40480525446738
64,1.0,0,1.0,0,0,1092.0875239904078,562.2095926725677,12.440165246178967,1.5584598927685835
65,-1.0,0,0.7802842224300868,0,0,2067.4557989882583,791.0963360560291,11.910313218091733,2.084961534619433
66,1.0,0,0.4110229605794469,0,0,3096.5090145556283,1424.0553391518083,12.987413340558824,2.1307159416356716
67,1.0,1,,0,1,,,,
68,-1.0,0,0.6621552394146968,0,0,316.85440522630984,125.0122306719539,17.93975097238668,3.897458058992466
69,-1.0,0,0.47264959580145244,0,0,3222.1823920301995,1019.4469333040907,9.902895720504844,3.0945692489785843
70,1.0,0,1.0,0,0,1243.2268519374866,488.3373909723087,8.45939757072777,2.5964075133086157
71,1.0,0,0.7192097808755235,0,0,674.9445811157595,321.53336992441416,23.86068944986113,2.8484282792449593
72,1.0,0,0.5826677595036415,0,0,2520.9093552510285,1085.7082569861093,11.061432477933458,2.4755119719007883
73,1.0,0,1.0,0,0,1233.4328808191353,492.19818424795517,13.451905569284635,2.1811793781982733
74,-1.0,0,0.5917364449470133,0,0,1960.6222233058115,945.412453117851,19.64801682171897,3.014083529708464
75,-1.0,0,0.6850104031544733,0,0,240.10007291806514,130.05011347310852,11.356860338425667,4.072114791516281
76,-1.0,0,0.5668437306495473,0,0,2410.3578140693267,1024.9679173368177,12.181526321880634,3.1458993289231896
77,1.0,0,0.14716692686574345,1,1,4738.303592663357,2103.7102116378624,20.829765450923844,2.225042885275408
78,-1.0,0,0.8192039209646074,0,0,1197.9882619171144,514.2733485649529,20.671273390716415,2.5106412743995716
79,1.0,1,,0,1,,,,
80,-1.0,0,0.5026204272635995,0,0,2306.4328128246098,874.8302416935104,17.048708031541675,3.7476312034098305
81,1.0,0,0.4215803409815154,0,0,2407.8796545973873,1126.9158709707729,13.070759382326482,3.90430488658166
82,1.0,0,0.44306816760725826,0,0,1190.7653655274587,491.13922174518166,33.16435318006794,3.1870463499967108
83,-1.0,0,0.831075253017523,0,0,572.0562515826546,248.81233685204842,18.887856998274906,3.037340360931355
84,1.0,0,0.5474955817062455,0,0,2702.402815951236,1072.6376456426342,16.40552018409646,2.7048376561076966
85,-1.0,1,,0,1,,,,
86,-1.0,0,0.49218784156414613,0,0,1191.437123811165,496.01343381169124,30.68358812993274,3.174492190879834
87,1.0,0,0.371337314403014,0,0,2243.2017409027344,885.2248446804413,10.812041181847503,4.923691022764439
88,-1.0,0,1.0,0,0,1130.6595763573134,437.62292724580067,10.164184701308004,2.540812902292918
89,-1.0,0,0.38483173246920793,0,0,1846.6107421305787,780.885355694998,18.38898628682795,4.988015685901149
90,-1.0,0,0.7825937069270763,0,0,203.77718535497877,100.5924233463225,19.922062512236234,3.0952197885527997
91,-1.0,0,0.5849230510683727,0,0,1870.4732404293497,707.4344623473883,12.540768064790399,4.103408562041001
92,1.0,0,0.7431431806355561,0,0,1330.9847530344837,569.5703358099116,19.314046905976245,3.3427956831837293
93,-1.0,0,0.18239678268881537,1,1,3576.4545864548004,1023.3677998771811,22.50966532413515,4.9952302949510505
94,-1.0,0,1.0,0,0,1251.7904638909317,578.4423818184364,11.694610425027168,2.303015328713897
95,-1.0,0,0.97496118636113,0,0,1552.303647620834,542.810239068678,11.589570135334037,1.6748459174973698
96,-1.0,0,0.5533207177027691,0,0,2002.3099592978328,814.781584814109,24.247573449309204,2.7969401757822125
97,-1.0,0,0.5066758154905354,0,0,2871.6957547299576,1172.406895643461,8.683443454976418,2.1076756756562114
98,-1.0,0,1.0,0,0,849.5579373204746,408.85152052078865,13.76996526707196,2.072694284743612
99,-1.0,0,0.23333896803282056,1,1,2391.6929762975114,917.4431136998036,38.857393259565725,3.1980340566729706
