Trial,CueType,ClippedDrop,SQI,RiemannDrop,FinalDrop,RP1_F3F4_1_7_Frobenius,RP2_Fz_1_7_Variance,RP3_All_16_24_Trace,RP4_All_1_24_Riemann
0,-1.0,0,0.57758883356936,0,0,429.50029932033215,215.76656974021958,21.595172086230455,2.4244029750611293
1,1.0,0,0.6656227151449937,0,0,43.33707957579861,32.064339401426786,15.780558761049726,3.9348354704245585
2,-1.0,1,,0,1,,,,
3,-1.0,1,,0,1,,,,
4,1.0,0,0.7000033523651681,0,0,49.271092667427425,26.318533857926305,24.36925349934183,2.5764345949655727
5,-1.0,0,0.5812417509894418,0,0,78.92873489907237,18.487968865982346,11.029488385189147,4.411143395190083
6,-1.0,0,1.0,0,0,63.68594273889553,21.059158475572712,13.85567154175214,1.8161846930898626
7,-1.0,0,0.8520229633112489,0,0,119.45370810853646,9.049897505732703,17.512828490189886,2.908897587737495
8,1.0,0,0.6641778094627264,0,0,57.74448150232804,17.874510352646926,12.728023913828022,3.9424712155344594
9,1.0,0,0.7315006185038674,0,0,30.857614253887483,31.118386753644522,8.176896721104502,3.603227125813648
10,1.0,0,0.587345858213986,0,0,128.10021340211702,25.517548070667072,18.817577242790218,4.021328923300069
11,1.0,0,1.0,0,0,61.5524619673132,35.426434053093885,14.303454021134161,1.9998478672128017
12,-1.0,0,0.9793837146265822,0,0,69.81115584257593,34.05908613573272,16.941569201278487,2.4927624601520995
13,-1.0,1,,0,1,,,,
14,1.0,1,,0,1,,,,
15,-1.0,0,1.0,0,0,52.68314711769732,21.58711837364972,12.084452934921341,1.7062042738535783
16,1.0,0,1.0,0,0,65.56149211118112,33.394961364292,9.4065804751443,1.6977887539582444
17,-1.0,0,1.0,0,0,137.76572055107403,39.77091235237128,14.687585382982805,2.1651889317574864
18,-1.0,0,0.2648952900321939,1,1,951.7027670459372,366.5329542173484,24.358720632985353,2.3260076545330373
19,1.0,1,,0,1,,,,
20,-1.0,0,1.0,0,0,89.01986682206805,38.16421869688505,8.783330707061921,2.298270643642147
21,-1.0,1,,0,1,,,,
22,1.0,0,0.3550935117298419,1,1,599.7742899920729,11.924546608756263,15.073194713127956,5.464694707781887
23,-1.0,0,0.533272586618212,0,0,539.3540590928527,275.99398085627655,14.136259486404043,2.8527031690807263
24,-1.0,0,0.9279475901580927,0,0,58.83447072075037,29.397582556169077,14.32960113476158,2.767391159557121
25,1.0,0,0.3177336338420225,1,1,639.0116294542016,296.33909974314406,28.41933881608871,1.4269400694991925
26,1.0,1,,0,1,,,,
27,-1.0,0,0.0785369486120762,1,1,1282.1015288023389,555.5871814463671,33.24073209808721,3.2876080856674452
28,-1.0,0,0.8494077387298614,0,0,62.93376302081498,39.4471180249341,8.27846865065995,3.078131034573366
