Dataset,Condition,Channel,N_trials,CuePeakAmplitude,CuePeakLatencyFromCue,CuePeakAtLeftBoundary,CuePeakAtRightBoundary,CueHasPositivePeak,CuePeakStatus,TargetPeakAmplitude,TargetPeakLatencyFromCue,TargetPeakLatencyFromTarget,TargetPeakAtLeftBoundary,TargetPeakAtRightBoundary,TargetHasPositivePeak,TargetPeakStatus
VisualCogA_Task-1,左条件,F3,29,-13.703825074896564,0.2890625,0,0,0,no_positive_peak,4.40658194817817,2.4921875,0.2921874999999998,0,0,1,valid
VisualCogA_Task-1,左条件,Fz,29,9.499561991740716,0.3359375,0,0,1,valid,9.412552414634456,2.625,0.4249999999999998,0,0,1,valid
VisualCogA_Task-1,左条件,F4,29,-18.70808262328458,0.296875,0,0,0,no_positive_peak,8.656238004885832,2.625,0.4249999999999998,0,0,1,valid
VisualCogA_Task-1,右条件,F3,25,1.8358185808041483,0.359375,0,0,1,valid,-11.650494946613321,2.609375,0.4093749999999998,0,0,0,no_positive_peak
VisualCogA_Task-1,右条件,Fz,25,8.403985305263218,0.359375,0,0,1,valid,10.564779021656713,2.6328125,0.4328124999999998,0,0,1,valid
VisualCogA_Task-1,右条件,F4,25,11.593658778828107,0.359375,0,0,1,valid,1.4424191926643417,2.6484375,0.4484374999999998,0,0,1,valid
VisualCogA_Task-2,左条件,F3,45,43.04539571438914,0.5,0,1,1,right_boundary,35.043713207344396,2.6953125,0.4953124999999998,0,1,1,right_boundary
VisualCogA_Task-2,左条件,Fz,45,33.14837685317795,0.5,0,1,1,right_boundary,36.27934647697251,2.6328125,0.4328124999999998,0,0,1,valid
VisualCogA_Task-2,左条件,F4,45,46.50721835891149,0.5,0,1,1,right_boundary,46.65118911183508,2.640625,0.4406249999999998,0,0,1,valid
VisualCogA_Task-2,右条件,F3,35,57.77658695499225,0.5,0,1,1,right_boundary,40.854505772002696,2.6484375,0.4484374999999998,0,0,1,valid
VisualCogA_Task-2,右条件,Fz,35,29.3848074714327,0.5,0,1,1,right_boundary,39.054869468776154,2.6484375,0.4484374999999998,0,0,1,valid
VisualCogA_Task-2,右条件,F4,35,43.52169749436888,0.5,0,1,1,right_boundary,47.36443933539387,2.6953125,0.4953124999999998,0,1,1,right_boundary
VisualCogB_Task-1,左条件,F3,41,0.5800337522022417,0.5,0,1,1,right_boundary,11.605709500913889,2.65625,0.4562499999999998,0,0,1,valid
VisualCogB_Task-1,左条件,Fz,41,8.266812936823703,0.3515625,0,0,1,valid,0.41737756281672334,2.65625,0.4562499999999998,0,0,1,valid
VisualCogB_Task-1,左条件,F4,41,17.618637191797138,0.3515625,0,0,1,valid,18.073005473826427,2.65625,0.4562499999999998,0,0,1,valid
VisualCogB_Task-1,右条件,F3,42,-2.35496207259664,0.3671875,0,0,0,no_positive_peak,11.560654775171905,2.6015625,0.4015624999999998,0,0,1,valid
VisualCogB_Task-1,右条件,Fz,42,11.171372554340389,0.328125,0,0,1,valid,7.424434523081043,2.609375,0.4093749999999998,0,0,1,valid
VisualCogB_Task-1,右条件,F4,42,-1.7416118615865614,0.328125,0,0,0,no_positive_peak,9.343162725318383,2.609375,0.4093749999999998,0,0,1,valid
VisualCogB_Task-2,左条件,F3,37,-21.852442671383386,0.265625,0,0,0,no_positive_peak,-36.485456307583746,2.6640625,0.4640624999999998,0,0,0,no_positive_peak
VisualCogB_Task-2,左条件,Fz,37,12.220879104145371,0.5,0,1,1,right_boundary,2.2007296301392807,2.6640625,0.4640624999999998,0,0,1,valid
VisualCogB_Task-2,左条件,F4,37,-10.921726009460494,0.2890625,0,0,0,no_positive_peak,-25.59798929026701,2.671875,0.4718749999999998,0,0,0,no_positive_peak
VisualCogB_Task-2,右条件,F3,43,19.66897527010402,0.5,0,1,1,right_boundary,-0.9581687023843329,2.6328125,0.4328124999999998,0,0,0,no_positive_peak
VisualCogB_Task-2,右条件,Fz,43,22.045409393935223,0.5,0,1,1,right_boundary,16.951086967668804,2.6953125,0.4953124999999998,0,1,1,right_boundary
VisualCogB_Task-2,右条件,F4,43,35.234800964164855,0.5,0,1,1,right_boundary,28.638622740965953,2.6953125,0.4953124999999998,0,1,1,right_boundary
